2022-08-11 09:00:42,391 |  |  | 127.0.0.1 |  | USER | CREATE |  | Administrator
2022-08-11 09:00:42,391 |  |  | 127.0.0.1 |  | USER | ACTIVATE |  | Administrator
2022-08-11 09:00:42,878 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | Wxryb0A8a1ArTVnJ00ngTQ7zZA3ub_lH5nW0xGjti8A | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 09:02:56,629 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | 8qS1pUnIupAlu0c7RMKznAZzeXGXGyFIOmbWPVv-XNw | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 09:26:12,296 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | x2wBt9Zv_qghRjD7kBZkZA_xRlG-g6u0V281Z8RMpo0 | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 09:36:19,578 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN | MODIFY |  | JSON Web Tokens
2022-08-11 09:38:12,071 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN_MAPPING | MODIFY |  | 
2022-08-11 09:40:21,894 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_CLIENTS | MODIFY |  | 
2022-08-11 09:49:02,241 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN_MAPPING | MODIFY |  | 
2022-08-11 09:52:51,996 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_SERVER_SETTINGS | MODIFY |  | 
2022-08-11 09:53:39,296 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_SERVER_SETTINGS | MODIFY |  | 
2022-08-11 10:21:48,245 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-11 10:21:55,771 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | jZil9el4sr1fQ2C24ukeaNpT_gEQ7zyFb-eIk6z31ig | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 10:26:06,714 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_POLICY | MODIFY |  | 
2022-08-11 11:03:23,704 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin |  | jZil9el4sr1fQ2C24ukeaNpT_gEQ7zyFb-eIk6z31ig | USER | SESSION_TIMEOUT |  | Session timed out at 2022-08-11 10:56:06,756
2022-08-11 11:54:10,953 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | -WTZACLOENM-CqJSSoGclU_b_gmOtnnHspSXP9zyBSY | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 12:33:23,874 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin |  | -WTZACLOENM-CqJSSoGclU_b_gmOtnnHspSXP9zyBSY | USER | SESSION_TIMEOUT |  | Session timed out at 2022-08-11 12:29:30,559
2022-08-11 15:11:19,234 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | AENo9Ms6RgsyJplbePZpasF1URdukx8F3U1_-kjbIjg | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 15:14:49,292 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
